Country,Type,Subtype,Class,%,Currency,Year,Source
Nigeria,Tax,Non-Fuel tax exemptions,B5,,NGN,2018,
Nigeria,Tax,Non-Fuel tax exemptions,B5,,NGN,2018,
Nigeria,Tax,Non-Fuel tax exemptions,B5,,NGN,2018,
Nigeria,Tax,Non-Fuel tax exemptions,B5,,NGN,2018,
Nigeria,Tax,Non-Fuel tax exemptions,B5,,NGN,2018,
Nigeria,Tax,Non-Fuel tax exemptions,B5,,NGN,2018,
Nigeria,Tax,Non-Fuel tax exemptions,B5,,NGN,2018,
Nigeria,Tax,Non-Fuel tax exemptions,B5,,NGN,2018,
Nigeria,Tax,Non-Fuel tax exemptions,B5,,NGN,2018,
Nigeria,Tax,Non-Fuel tax exemptions,B5,,NGN,2018,
Nigeria,Tax,Non-Fuel tax exemptions,B5,,NGN,2018,
Nigeria,Tax,Non-Fuel tax exemptions,B5,,NGN,2018,
Nigeria,Tax,Non-Fuel tax exemptions,B5,,NGN,2018,
Nigeria,Tax,Non-Fuel tax exemptions,B5,,NGN,2018,
Nigeria,Tax,Non-Fuel tax exemptions,B5,,NGN,2018,
Nigeria,Assistance,Worker adjustment and retraining,C1,,USD,2016,"OECDStat, Overseas Development Aid, Fisheries Training"
Norway,Tax,Non-Fuel tax exemptions,B5,,USD,2014,Deloitte European VAT Refund Guide 2018
Norway,Tax,Non-Fuel tax exemptions,B5,,USD,2018,Norway Toll & Customs - Vessels - Exemption From Taxes
Norway,Tax,Non-Fuel tax exemptions,B5,,USD,2018,Norwegian Tax Administration (2018) 3.2.14 Special Allowance for Fishermen and Hunters At Sea
Oman,Boat,"Boat / fleet construct., renewal, & modernization",B1,,,,Oman WTO Trade Policy Review -2014
Oman,Port,Port & harbour construction & renovation,B3,,,,Oman WTO Trade Policy Review -2014
Oman,Market Infrastructure,"State investments in firms, cooperatives & parastatals",B4,,,,Oman WTO Trade Policy Review -2014
Oman,Market Infrastructure,Processing & storage infrastructure,B4,,,,Oman WTO Trade Policy Review -2014
Oman,Fuel,Fuel subsidies,B7,,,,Gulf News (2017) Oman Introduces New Fuel Subsidy Scheme
Panama,Boat,"Boat / fleet construct., renewal, & modernization",B1,,,2016,Panama (2016) Dialogo Nacional Por La Pesca
Peru,Boat,"Boat / fleet construct., renewal, & modernization",B1,,PEN,2015,"OECD, Fisheries Support Estimate (stats.oecd.org/)"
Peru,Tax,Non-Fuel tax exemptions,B5,,USD,2014,PWC Worldwide Tax Summaries - Corporate Taxes 2018-19
Poland,Tax,Non-Fuel tax exemptions,B5,100%,,,Preferencje podatkowe w Polsce Nr 7 2015
Poland,Fuel,Fuel tax concessions,B7,100%,,2018,OECD (2018) Taxing Energy Use - Poland
Portugal,Fuel,Fuel tax concessions,B7,100%,,2018,OECD (2018) Taxing Energy Use - Portugal
Senegal,Fishery Development,Development grants for fishery projects,B2,,USD,2017,
Senegal,Tax,Non-Fuel tax exemptions,B5,,USD,2014,Senegal Code General des Impots
Senegal,Tax,Non-Fuel tax exemptions,B5,,USD,2014,Senegal Code General des Impots
Senegal,Tax,Non-Fuel tax exemptions,B5,,USD,2014,Senegal Code General des Impots
Senegal,Tax,Non-Fuel tax exemptions,B5,,USD,2014,Senegal Code General des Impots
Senegal,Assistance,Fisher assistance,C1,,,,Hub Rural (2014) Sénégal: Lancement d'un programme d'assurance des unités de pêche
Senegal,Assistance,Worker adjustment and retraining,C1,,USD,2017,
Somalia,Assistance,Worker adjustment and retraining,C1,,USD,2017,
Sri Lanka,Tax,Non-Fuel tax exemptions,B5,,USD,2014,Sri Lanka WTO Trade Policy Review-2017
Sudan,Market Infrastructure,Processing & storage infrastructure,B4,,USD,2017,
Taiwan,Fuel,Fuel subsidies,B7,,,2018,The Diplomat (2018) The Dirty Secret of Taiwan's Fishing Industry
Tanzania,Tax,Non-Fuel tax exemptions,B5,,USD,2014,EY Worldwide Corporate Tax Guide 2018
United Kingdom,Fuel,Fuel tax concessions,B7,0%,,2018,OECD (2018) Taxing Energy Use - UK
USA,Boat,Financial support fleet renewal & modernization,B1,0%,,2018,"ScienceDaily (2019) Federal Subsidies For US Commercial Fisheries Should Be Rejected, Analysis Concludes"
USA,Boat,"Boat / fleet construct., renewal, & modernization",B1,,,2018,NOAA Fisheries - Capital Construction Fund Program
Vanuatu,Boat,"Boat / fleet construct., renewal, & modernization",B1,100%,VUV,2018,Vanuatu WTO Trade Policy Review-2018
Vanuatu,Market Infrastructure,Market-Other,B4,,VUV,2018,"Vanuatu Ministry of Agriculture, Livestock, Forestry, Fisheries, and Biosecurity - Corporate Plan 2014-2018"
Vanuatu,Tax,Non-Fuel tax exemptions,B5,,USD,2014,Vanuatu WTO Trade Policy Review-2018
Vanuatu,Fuel,Fuel tax concessions,B7,,VUV,2018,Vanuatu WTO Trade Policy Review-2018
Viet Nam,Fishery Management,Fishery management programs & services,A1,,USD,2017,"OECDStat, Overseas Development Aid, Fisheries Policy & Management"
Viet Nam,R&D,R&D,A2,,USD,2017,"OECDStat, Overseas Development Aid, Fisheries Research"
Viet Nam,Boat,Financial support fleet renewal & modernization,B1,,,,Viet Nam Decree 17 2018
Viet Nam,Boat,Financial support fleet renewal & modernization,B1,,,,Viet Nam Decree 67/2014
Viet Nam,Market Infrastructure,Processing & storage infrastructure,B4,,USD,2016,"OECDStat, Overseas Development Aid, Fishery Services"
Viet Nam,Tax,Non-Fuel tax exemptions,B5,,,,Viet Nam Decree 17 2018
Viet Nam,Assistance,Fisher assistance,C1,,,,Viet Nam Decree 17 2018
Viet Nam,Assistance,Worker adjustment and retraining,C1,,USD,2017,"OECDStat, Overseas Development Aid, Fisheries Training"
Viet Nam,Rural,Rural fisheries community development,C3,,VND,2018,Tong Cuc Thuy San (2019) Towards sustainable development of fisheries industry in Quang Binh province.
Yemen,Fishery Development,Development grants for fishery projects,B2,,USD,2017,"OECDStat, Overseas Development Aid, Fishery Development"
